,TRIAL,STx,Nrate,GY,Y0,Ymax,NR,NRr,NAE
80,110,loam,179,7.659,6.7170000000000005,7.784,0.9419999999999993,14.02411790978114,5.263
81,110,loam,269,7.47,6.7170000000000005,7.784,0.7529999999999992,11.210361768646706,2.799
83,121,silty clay loam,90,10.981,6.627999999999999,12.606,4.353000000000001,65.67592033796019,48.367
84,121,silty clay loam,179,12.475999999999999,6.627999999999999,12.606,5.848,88.23174411587206,32.67
85,121,silty clay loam,269,12.606,6.627999999999999,12.606,5.978000000000001,90.19312009656007,22.223
87,162,silt loam,50,7.462000000000001,3.693,12.085,3.7690000000000006,102.05794746818306,75.38
88,162,silt loam,100,10.552999999999999,3.693,12.085,6.859999999999999,185.75683725968045,68.6
89,162,silt loam,150,12.06,3.693,12.085,8.367,226.5637692932575,55.78
90,162,silt loam,200,12.085,3.693,12.085,8.392000000000001,227.24072569726513,41.96
92,187,loam,67,7.315,3.9160000000000004,9.754,3.399,86.79775280898876,50.731
93,187,loam,134,9.015,3.9160000000000004,9.754,5.099,130.20939734422882,38.052
94,187,loam,201,8.867,3.9160000000000004,9.754,4.9510000000000005,126.43003064351379,24.632
95,187,loam,268,9.754,3.9160000000000004,9.754,5.837999999999999,149.08069458631252,21.784
97,208,silty clay loam,165,9.972999999999999,8.524,11.105,1.4489999999999998,16.999061473486627,8.782
98,208,silty clay loam,330,11.105,8.524,11.105,2.5810000000000013,30.279211637728785,7.821
100,238,sandy loam,134,9.8,7.1,9.8,2.700000000000001,38.028169014084526,20.149
101,238,sandy loam,202,8.5,7.1,9.8,1.4000000000000004,19.718309859154935,6.931
102,238,sandy loam,269,8.0,7.1,9.8,0.9000000000000004,12.676056338028175,3.346
104,274,clay loam,50,13.94,13.328,14.270999999999999,0.6120000000000001,4.591836734693879,12.24
105,274,clay loam,50,13.815,13.328,14.270999999999999,0.4870000000000001,3.6539615846338545,9.74
106,274,clay loam,90,14.270999999999999,13.328,14.270999999999999,0.9429999999999996,7.0753301320528195,10.478
107,274,clay loam,90,14.158,13.328,14.270999999999999,0.8300000000000001,6.2274909963985605,9.222
108,274,clay loam,130,13.956,13.328,14.270999999999999,0.6280000000000001,4.711884753901561,4.831
109,274,clay loam,130,13.91,13.328,14.270999999999999,0.5820000000000007,4.366746698679477,4.477
110,274,clay loam,180,13.694,13.328,14.270999999999999,0.36600000000000144,2.746098439375761,2.033
111,274,clay loam,180,13.362,13.328,14.270999999999999,0.034000000000000696,0.25510204081633175,0.189
112,274,clay loam,300,14.142999999999999,13.328,14.270999999999999,0.8149999999999995,6.1149459783913525,2.717
113,274,clay loam,300,13.106,13.328,14.270999999999999,-0.22199999999999953,-1.665666266506599,-0.74
115,305,loam,73,9.026,6.781000000000001,10.859000000000002,2.244999999999999,33.107211325763146,30.753
116,305,loam,124,9.402000000000001,6.781000000000001,10.859000000000002,2.6210000000000004,38.65211620704911,21.137
117,305,loam,174,10.859000000000002,6.781000000000001,10.859000000000002,4.078000000000001,60.13862262203216,23.437
118,305,loam,224,10.407,6.781000000000001,10.859000000000002,3.6259999999999994,53.47293909452881,16.187
120,331,silty clay loam,22,15.866,16.108,17.038,-0.24200000000000088,-1.5023590762354164,-11.0
