,TRIAL,STx,Nrate,GY,Y0,Ymax,NR,NRr,NAE
371,1164,sandy loam,50,2.265,1.784,8.527000000000001,0.4810000000000001,26.961883408071753,9.62
372,1164,sandy loam,100,3.562,1.784,8.527000000000001,1.7779999999999998,99.66367713004483,17.78
373,1164,sandy loam,150,4.687,1.784,8.527000000000001,2.9030000000000005,162.72421524663682,19.353
374,1164,sandy loam,200,6.83,1.784,8.527000000000001,5.046,282.847533632287,25.23
375,1164,sandy loam,250,8.527000000000001,1.784,8.527000000000001,6.743000000000001,377.97085201793726,26.972
377,1167,silty clay loam,50,11.761,12.049000000000001,12.624,-0.28800000000000203,-2.390239853929803,-5.76
378,1167,silty clay loam,100,12.624,12.049000000000001,12.624,0.5749999999999993,4.77218026392231,5.75
379,1167,silty clay loam,150,4.4,12.049000000000001,12.624,-7.649000000000001,-63.4824466760727,-50.993
380,1167,silty clay loam,200,7.716,12.049000000000001,12.624,-4.333000000000001,-35.96149058013114,-21.665
381,1167,silty clay loam,250,8.119,12.049000000000001,12.624,-3.9300000000000015,-32.61681467341689,-15.72
383,1168,silty clay,50,10.738,10.404000000000002,12.567,0.33399999999999785,3.21030372933485,6.68
384,1168,silty clay,100,11.372,10.404000000000002,12.567,0.9679999999999982,9.30411380238368,9.68
385,1168,silty clay,150,11.737,10.404000000000002,12.567,1.3329999999999984,12.812379853902328,8.887
386,1168,silty clay,200,11.743,10.404000000000002,12.567,1.3389999999999986,12.87004998077661,6.695
387,1168,silty clay,250,12.567,10.404000000000002,12.567,2.1629999999999985,20.790080738177604,8.652
389,1170,sandy loam,50,9.318,9.453,11.655,-0.1349999999999998,-1.4281180577594395,-2.7
390,1170,sandy loam,100,9.586,9.453,11.655,0.1330000000000009,1.4069607532000519,1.33
391,1170,sandy loam,150,7.035,9.453,11.655,-2.4179999999999993,-25.579181212313546,-16.12
392,1170,sandy loam,200,6.045,9.453,11.655,-3.4079999999999995,-36.052046969216114,-17.04
393,1170,sandy loam,250,11.655,9.453,11.655,2.202,23.294192319898446,8.808
395,1181,loamy sand,45,3.0989999999999998,3.014,3.1639999999999997,0.08499999999999996,2.8201725282017245,1.889
396,1181,loamy sand,90,2.608,3.014,3.1639999999999997,-0.4059999999999997,-13.470471134704704,-4.511
397,1181,loamy sand,135,3.1639999999999997,3.014,3.1639999999999997,0.1499999999999999,4.976775049767748,1.111
398,1181,loamy sand,200,2.8480000000000003,3.014,3.1639999999999997,-0.16599999999999948,-5.507631055076294,-0.83
400,1184,clay loam,45,9.918,8.176,9.918,1.741999999999999,21.306262230919753,38.711
401,1184,clay loam,90,9.869,8.176,9.918,1.6929999999999996,20.70694716242661,18.811
402,1184,clay loam,135,8.776,8.176,9.918,0.5999999999999996,7.3385518590998,4.444
403,1184,clay loam,200,8.965,8.176,9.918,0.7889999999999997,9.650195694716238,3.945
405,1185,sandy loam,45,10.511,9.629,11.42,0.8819999999999997,9.159829681171457,19.6
406,1185,sandy loam,90,11.394,9.629,11.42,1.7650000000000006,18.330044656766027,19.611
407,1185,sandy loam,135,11.149000000000001,9.629,11.42,1.5200000000000014,15.785647523107293,11.259
408,1185,sandy loam,200,11.42,9.629,11.42,1.7910000000000004,18.600062311766543,8.955
410,1188,silt loam,45,9.224,8.258,10.498,0.9660000000000011,11.697747638653441,21.467
411,1188,silt loam,90,10.334000000000001,8.258,10.498,2.0760000000000023,25.13925890046019,23.067
412,1188,silt loam,135,10.498,8.258,10.498,2.24,27.125211915718094,16.593
413,1188,silt loam,200,9.894,8.258,10.498,1.636000000000001,19.81109227415841,8.18
